Team,Mentions,Wins,Draws,Losses,Goals For,Goals Against,Sentiment
Real Madrid,70,12,3,0,84,61,0.04012297297297297
Arsenal,31,3,0,0,10,4,-0.055656250000000004
Liverpool,36,4,0,0,10,3,0.07657222222222222
Barcelona,49,0,1,0,1,1,0.2353576923076923
Bayern Munich,26,5,0,1,23,4,0.18653703703703706
Manchester City,32,3,1,0,65,52,0.06792812500000002
Benfica,11,0,0,8,16168,16176,0.07236363636363637
Inter Milan,19,0,1,0,0,0,0.06598421052631578
Bayer Leverkusen,2,1,0,0,4,0,0.17415000000000003
Borussia Dortmund,12,0,1,0,0,0,0.2935384615384616
AC Milan,31,1,1,0,6,1,0.1488757575757576
Manchester United,6,0,0,1,0,0,0.31506666666666666
Porto,2,0,0,10,20212,20222,0.0
Ajax,4,0,0,4,8082,8086,0.47872000000000003
